Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,91.596,-80.884,180.0,bottom
C10,1u,C_0402_1005Metric,100.875,-89.025,0.0,bottom
C11,100n,C_0402_1005Metric,104.245,-89.985,0.0,bottom
C12,100n,C_0402_1005Metric,108.35,-90.365,270.0,bottom
C13,100n,C_0402_1005Metric,113.425,-87.015,270.0,bottom
C14,100n,C_0402_1005Metric,108.725,-78.575,90.0,bottom
C15,100n,C_0402_1005Metric,102.875,-78.575,45.0,bottom
C16,100n,C_0402_1005Metric,100.875,-85.025,0.0,bottom
C2,20p,C_0402_1005Metric,116.525,-82.375,180.0,bottom
C3,20p,C_0402_1005Metric,119.275,-84.625,90.0,bottom
C4,1u,C_0402_1005Metric,94.35,-77.899,90.0,bottom
C5,100n,C_0402_1005Metric,96.879,-80.206,90.0,bottom
C6,100n,C_0402_1005Metric,112.425,-87.015,270.0,bottom
C7,100n,C_0402_1005Metric,100.875,-84.025,0.0,bottom
C8,1u,C_0402_1005Metric,100.875,-88.025,0.0,bottom
C9,100n,C_0402_1005Metric,102.355,-89.505,270.0,bottom
D1,DIODE,D_SOD-123,15.025,-12.875,90.0,bottom
D10,DIODE,D_SOD-123,186.475,-12.875,90.0,bottom
D11,DIODE,D_SOD-123,205.525,-12.875,90.0,bottom
D12,DIODE,D_SOD-123,224.575,-12.875,90.0,bottom
D13,DIODE,D_SOD-123,243.625,-12.875,90.0,bottom
D14,DIODE,D_SOD-123,263.35,-15.025,180.0,bottom
D15,DIODE,D_SOD-123,19.7875,-31.925,90.0,bottom
D16,DIODE,D_SOD-123,43.6,-31.925,90.0,bottom
D17,DIODE,D_SOD-123,62.65,-31.925,90.0,bottom
D18,DIODE,D_SOD-123,81.7,-31.925,90.0,bottom
D19,DIODE,D_SOD-123,100.75,-31.925,90.0,bottom
D2,DIODE,D_SOD-123,34.075,-12.875,90.0,bottom
D20,DIODE,D_SOD-123,119.8,-31.925,90.0,bottom
D21,DIODE,D_SOD-123,138.85,-31.925,90.0,bottom
D22,DIODE,D_SOD-123,157.9,-31.925,90.0,bottom
D23,DIODE,D_SOD-123,176.95,-31.925,90.0,bottom
D24,DIODE,D_SOD-123,196.0,-31.925,90.0,bottom
D25,DIODE,D_SOD-123,215.05,-31.925,90.0,bottom
D26,DIODE,D_SOD-123,234.1,-31.925,90.0,bottom
D27,DIODE,D_SOD-123,253.15,-31.925,90.0,bottom
D28,DIODE,D_SOD-123,276.9625,-31.925,90.0,bottom
D29,DIODE,D_SOD-123,22.16875,-50.975,90.0,bottom
D3,DIODE,D_SOD-123,53.125,-12.875,90.0,bottom
D30,DIODE,D_SOD-123,48.3625,-50.975,90.0,bottom
D31,DIODE,D_SOD-123,67.4125,-50.975,90.0,bottom
D32,DIODE,D_SOD-123,86.4625,-50.975,90.0,bottom
D33,DIODE,D_SOD-123,105.5125,-50.975,90.0,bottom
D34,DIODE,D_SOD-123,124.5625,-50.975,90.0,bottom
D35,DIODE,D_SOD-123,143.6125,-50.975,90.0,bottom
D36,DIODE,D_SOD-123,162.6625,-50.975,90.0,bottom
D37,DIODE,D_SOD-123,181.7125,-50.975,90.0,bottom
D38,DIODE,D_SOD-123,200.7625,-50.975,90.0,bottom
D39,DIODE,D_SOD-123,219.8125,-50.975,90.0,bottom
